,Sample_Point_(SP),Year,Latitude,Longitude,Depth,Rake_Abundance,Rake_Abundance_#,Alisma_gramineum,Benthic_Filamentous_Algae,Callitriche_hermaphroditica,Ceratophyllum_demersum,Chara_vulgaris,Elodea_sp.,Floating_Filamentous_Algae,Fontinalis_sp.,Heteranthera_dubia,Hydrocharis_morsus-ranae,Hypericum_ellipticum,Lemna_minor,Lemna_trisulca,Megalodonta_beckii,Myriophyllum_sibiricum,Myriophyllum_spicatum,Najas_flexilis,Najas_guadalupensis,Nitella_flexilis,Nitellopsis_obtusa,Nuphar_variegata,Nymphaea_odorata,Pithophora_sp.,Polygonum_amphibium,Potamogeton_amplifolius,Potamogeton_crispus,Potamogeton_crispus_turions,Potamogeton_foliosus,Potamogeton_gramineus,Potamogeton_illinoensis,Potamogeton_pectinatus,Potamogeton_praelongus,Potamogeton_pusillus,Potamogeton_richardsonii,Potamogeton_zosteriformis,Ranunculus_trichophyllus,Riccia_fluitans,Spirodela_polyrhiza,Stuckenia_pectinata,Stuckenia_vaginata,Utricularia_vulgaris,Vallisneria_americana,Wolffia_columbiana,Zannichellia_palustris
24,25,2008,42.9740021,-75.8878303,3.6576000000000004,,,,,,S,,,,,,,,,,,,T,,,,,,,,,,,,T,,,,,,,,,,,,,,,,
25,26,2008,42.9741368,-75.8868632,1.2192,,,,,,M,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,2008,42.9743156,-75.8861365,0.9144000000000001,,,,T,,M,,T,,,T,,,,,M,,M,,,,,,T,,,S,,,,,T,,,,,,,,,,,,T,,
27,28,2008,42.9748021,-75.8838658,0.6096,,,,,,S,S,,,,T,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
28,29,2008,42.9750385,-75.883328,1.2192,,,,,,T,,T,,,T,,,,,,,S,,,,,,,,,T,,,,,,,,,,,,,,,,,T,,
29,30,2008,42.9752415,-75.8825262,0.9144000000000001,,,,,,T,,T,T,,S,,,,,,,S,,,,,,,,,,,,,,T,,,,,,,,,,,,T,,
30,31,2008,42.9754028,-75.8816964,0.9144000000000001,,,,S,,S,,T,S,,S,,,,,,,M,,,,,,,,,,,,,,S,,,,,,,,,,,,S,,
31,32,2008,42.9752738,-75.8809542,0.6096,,,,T,,T,T,,S,,T,,,,,,,M,,,,,,,,,,T,,,,T,,,,,,,,,,,,,,
32,33,2008,42.9750154,-75.8813339,1.2192,,,,,,T,M,,,,,,,,,,,T,,,,,,,,,,,,,,S,,,,,,,,,,,,,,
33,34,2008,42.9748007,-75.8823264,1.524,,,,,,T,M,,,,,,,,T,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
34,35,2008,42.9745808,-75.8831918,1.524,,,,S,,,S,,,,,,,,,,,D,,,,,,,,,,,,,,S,,,,,,,,,,,,,,
35,36,2008,42.9744812,-75.8839023,0.9144000000000001,,,,,,T,T,T,S,,D,,,,,S,,S,,,,,,T,,,,,,,,T,,,,,,,,,,,,T,,
36,37,2008,42.974717,-75.8804605,0.9144000000000001,,,,,,,M,,,,,,,,,,,M,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
37,38,2008,42.9745272,-75.8812385,1.524,,,,,,S,T,,,,S,,,,,T,,D,,,,,,,,,T,,,,,,,T,,,,,,,,,,S,,
38,39,2008,42.9742522,-75.8821871,1.2192,,,,,,M,S,S,,,T,,,,,,,D,,,,,,,,,,,,,,,,T,,,,,,,,,,,,
39,40,2008,42.9739459,-75.8833035,0.9144000000000001,,,,,,S,T,S,,,T,,,,,,,M,,,,,,,,,,,,,,T,,,,,,,,,,,,S,,
40,41,2008,42.9737157,-75.884369,0.9144000000000001,,,,,,M,M,,,,,,,,,,,M,,,,,,,,,,,,,,T,,,,,,,,,,,,T,,
41,42,2008,42.9735318,-75.8851375,1.524,,,,T,,T,T,T,,,M,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,S,,
42,43,2008,42.9734209,-75.8861874,1.524,,,,,,D,,,,,,,,,,,,M,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
43,44,2008,42.9732563,-75.8871586,4.572,,,,,,S,,,,,T,,,,,,,T,,,,,,,,,,T,,,,,,,,,,,,,,,,,,
44,45,2008,42.9730965,-75.8879853,1.2192,,,,,,M,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,2008,42.9727927,-75.8888289,0.6096,,,,,,S,,T,,,T,,,,,,,S,,,,,,S,,,,,,,,,,,,,,S,,,,,,,,
46,47,2008,42.9722803,-75.8881861,0.6096,,,,,,S,S,,,,T,,,,T,,,T,,,,,M,S,,,,,,,,,,,,,,T,,,,,,,,
47,48,2008,42.9723151,-75.8873411,0.9144000000000001,,,,,,M,,,,,,,,,,,,D,,,,,,,,,,,,,,,,S,,,,,,,,,,,,
48,49,2008,42.9723966,-75.8862069,4.2672,,,,T,,S,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,2008,42.9727738,-75.8849941,1.2192,,,,,,S,,S,,,,,,,,,,D,,,,,,,,,,,,,,,S,,,,,,,,,,,,,
50,51,2008,42.9730606,-75.8842895,1.524,,,,,,M,,S,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,2008,42.9732875,-75.88337,1.2192,,,,,,D,,T,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,2008,42.9735879,-75.8826265,0.9144000000000001,,,,,,D,,T,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,2008,42.9737212,-75.8815971,3.9624,,,,,,M,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,2008,42.9739382,-75.8807551,1.2192,,,,,,S,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,2008,42.9743169,-75.8799511,0.6096,,,,,,,M,,,,T,,,,,,,T,T,,,,,,,,,,,,,S,,,,,,,,,,,,T,,
56,57,2008,42.9736845,-75.8794947,0.6096,,,,,,S,M,T,,,T,,,,,,,D,T,,,,,T,,,,,,,,S,,,,,,,,,,,,T,,
57,58,2008,42.9734881,-75.8801008,0.9144000000000001,,,,T,,T,,T,,,,,,,,S,,M,,,,,,,,,T,,,,,,,,,,,,,,,,,T,,
58,59,2008,42.9730344,-75.8811633,5.7912,,,,S,,T,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,2008,42.9725813,-75.8825812,4.8768,,,,,,D,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,2008,42.9724011,-75.883566,3.6576000000000004,,,,T,,M,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,2008,42.9721624,-75.8844711,4.572,,,,S,,D,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,2008,42.9719054,-75.8852373,1.524,,,,,,M,,T,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,2008,42.9717794,-75.8861146,0.9144000000000001,,,,,,M,,S,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
64,65,2008,42.9716586,-75.8868663,0.6096,,,,,,S,T,T,,,T,,,,,,,S,,,,,T,S,,,,T,,,,,,,,,,T,,,,,,,,
65,66,2008,42.9715393,-75.8857554,0.6096,,,,,,T,M,T,,,,,,,,,,M,,,,,,,,,,,,,,,,,,T,,T,,,,,,T,,
66,67,2008,42.9715242,-75.8848803,0.9144000000000001,,,,,,S,S,T,,,T,,,,,,,D,,,,,,T,,,,,,,,,,,,T,,,,,,,,,,
67,68,2008,42.9716138,-75.8840747,0.9144000000000001,,,,,,M,,T,,,,,,,,,,D,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
68,69,2008,42.971902,-75.8833566,3.9624,,,,T,,S,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,2008,42.972166,-75.8825192,3.9624,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,2008,42.9722997,-75.8813674,6.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,2008,42.9730035,-75.879904,1.524,,,,,,T,,T,,,,,,,,,,M,,,,,,,,,S,,,,,,T,T,,,,,,,,,,T,,
72,73,2008,42.9732028,-75.8792463,0.6096,,,,,,,M,,,,,,,,,,,S,,,,,,,,,T,,,,,,,,,,,,,,,,,T,,
73,74,2008,42.9722799,-75.8787055,0.9144000000000001,,,,,,,S,,,,,,,,,,,T,,,,,,T,,,,,,,T,T,,,,,,,,,,,,,,
74,75,2008,42.971908,-75.8793918,1.524,,,,,,T,,T,,,T,,,,,,,M,,,,,,,,,,T,,,,,,,,,,,,,,,,,,
75,76,2008,42.9716923,-75.8804835,6.4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,2008,42.9714348,-75.8818995,4.2672,,,,S,,D,,T,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,
77,78,2008,42.9712043,-75.8832194,0.9144000000000001,,,,,,M,T,S,,,T,,,,,,,M,,,,,,T,,,S,,,,,,,,,,,,,,,,,T,,
78,79,2008,42.9705937,-75.8828932,0.6096,,,,,,S,D,S,,,S,,,,,,,M,,,,,T,T,,,,,,,,,,,,,,,,,,,,T,,
79,80,2008,42.970566,-75.8820202,0.9144000000000001,,,,,,S,,T,,,,,,,,,,M,,,,,,,,,,,,,,,T,,,,,,,,,,,,,
80,81,2008,42.9707304,-75.8809406,6.4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82,2008,42.9709019,-75.8794332,1.2192,,,,,,S,,D,,,,,,,,,,S,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
82,83,2008,42.9710137,-75.8783806,0.6096,,,,,,,S,,,,,,,,,,,S,,,,,,T,,,,,,T,T,,,,,,,,,,,,,,,
83,84,2008,42.9702305,-75.8792937,0.6096,,,,,,T,,T,,,M,,,,,,,S,T,,,,,,,,,,,,,T,,,,,,,,,,,,S,,
84,85,2008,42.9699584,-75.8802035,1.8288000000000002,,,,,,M,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,2008,42.9699251,-75.8811233,2.1336,,,,,,S,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87,2008,42.9698364,-75.8819048,1.524,,,,,,S,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
87,88,2008,42.9697445,-75.8823727,0.9144000000000001,,,,,,,M,T,,,M,,,,,,,S,,,,,,,,,,,,,,T,,,,,,,,,,,,T,,
88,89,2008,42.9690662,-75.8821374,0.6096,,,,,,T,T,M,,,,,,,,,,S,,,,,,T,,,,,,,,,,,,,,T,,,,,,T,,
89,90,2008,42.9690518,-75.881357,1.2192,,,,T,,M,,T,,,,,,,,,,M,,,,,,,,,,,,,,T,,,,,,,,,,,,S,,
90,91,2008,42.9690485,-75.8802482,1.2192,,,,,,S,,S,,,,,,,,,,M,,,,,,,,,,,,,,S,,,,,,,,,,,,T,,
91,92,2008,42.9690193,-75.8790655,1.2192,,,,,,T,S,,,,S,,,,,,,M,,,,,,,,,,,,,T,T,,,,,,,,,,,,,,
92,93,2008,42.9690882,-75.8782033,0.9144000000000001,,,,,,T,S,,,,T,,,,,,,S,T,,,,,,,,,,,,,,,,,,,,,,,,,T,,
93,94,2008,42.9687384,-75.8771237,0.6096,,,,,,,S,,,,,,,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,95,2008,42.968528,-75.8780253,0.6096,,,,,,,T,S,,,T,,,,,,,D,T,,,,,,,,,,,,,S,,,,,,,,,,,,S,,
95,96,2008,42.9682861,-75.8790745,1.8288000000000002,,,,,,T,,,,,,,,,,,,M,T,,,,,,,,,,,,,T,,T,,T,,,,,,,,,,
96,97,2008,42.9680104,-75.8800484,1.2192,,,,,,S,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,98,2008,42.9679045,-75.8807838,0.9144000000000001,,,,,,S,T,S,,,S,,,,,,,D,,,,,,,,,,,,,,,,T,,,,,,,,,,T,,
98,99,2008,42.9677924,-75.881276,0.6096,,,,,,,T,S,,,T,,,,,T,,S,,,,,,,,,,,,,,,,,,,,T,,,,,,T,,
99,100,2008,42.9672178,-75.880892,0.6096,,,,,,T,,S,,,D,,,,,S,,M,,,,,,,,,,,,,,,,,,,,,,,,,,M,,
100,101,2008,42.967334,-75.879929,2.1336,,,,,,S,,,,,T,,,,,,,M,,,,,,,,,,,,,,M,,,,,,,,,,,,,,
101,102,2008,42.9673922,-75.8787366,1.2192,,,,,,T,,,,,T,,,,,,,D,,,,,,,,,,,,,,S,T,,,,,,,,,,,,,
102,103,2008,42.9675851,-75.8774752,2.1336,,,,,,,S,,,,,,,,,,,S,,,,,,,,,,T,,,,,,,,,,,,,,,T,T,,
103,104,2008,42.9677963,-75.8766177,0.3048,,,,T,,,,T,,,T,,,,,,,M,T,,,,,,,,,,,,,T,,,,,,,,,,,,T,,
104,105,2008,42.967126,-75.876386,0.9144000000000001,,,,,,,,T,,,S,,,,,,,S,T,,,,,,,,,,,,,,,,,,,T,,,,,,,,
105,106,2008,42.9669547,-75.8776315,2.1336,,,,,,,S,,,S,,,,,,,,T,T,,,,,,,,,,,,,T,,,,T,,,,,,,,T,,
106,107,2008,42.9666414,-75.8786547,2.7432000000000003,,,,,,D,,,,,,,,,,,,S,,,,,,,,,,,,,,,S,,,,,,,,,,,,,
107,108,2008,42.9665132,-75.8797603,1.8288000000000002,,,,,,S,T,,,,,,,,,,,D,,,,,,,,,,,,,,S,,,,,,T,,,,,,,,
108,109,2008,42.9662921,-75.8806225,0.6096,,,,,,,,T,,,T,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,110,2008,42.9656107,-75.8804896,0.6096,,,,,,S,S,S,,,,,,,,,,S,,,,,T,S,,,,,,,,,,,,,,,,,,,,,,
110,111,2008,42.9656859,-75.8793787,1.2192,,,,,,S,,S,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,S,,
111,112,2008,42.9659134,-75.8780624,3.048,,,,,,D,,,,,,,,,,,,S,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
112,113,2008,42.9661259,-75.8768841,2.4384,,,,,,,T,,,,,,,,,,,M,,,,,,,,,,,,,,S,,,,,,,,,,,,T,,
113,114,2008,42.9663321,-75.8760186,0.9144000000000001,,,,,,S,,T,,,S,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
114,115,2008,42.9657158,-75.8754783,0.9144000000000001,,,,M,,T,,,,,T,,,,,,,S,T,,,,,,,,,,,,,,,,,,,,,,,,,T,,
115,116,2008,42.9655924,-75.8764797,35.3568,,,,,,,,,,,T,,,,,,,M,T,,,,,,,,,,,,,T,,,,,,,,,,,,T,,
116,117,2008,42.9651539,-75.8778159,2.4384,,,,,,S,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,118,2008,42.9648903,-75.8788614,1.2192,,,,T,,T,T,S,,,,,,,,,,D,,,,,,,,,,,,,,S,,,,,,,,,,,T,,,
118,119,2008,42.9646217,-75.8798919,0.6096,,,,,,,M,,,,,,,,,,,S,,,,,S,T,,,,,,,,S,,,,,,,,,,,,,,
119,120,2008,42.9638469,-75.8796666,0.6096,,,,,,,S,,,,,,,,,,,T,,,,,,S,,,,,,,,,,,,,,,,,,,,,,
120,121,2008,42.9639872,-75.8786539,0.9144000000000001,,,,,,S,,,,S,,,,,,,,D,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
121,122,2008,42.9640562,-75.8771422,6.4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,123,2008,42.9644194,-75.875574,1.8288000000000002,,,,,,S,,,,,,,,,,,,M,,,,,,,,,,,,,,S,,,,,,,,,,,,T,,
123,124,2008,42.9646037,-75.8746748,0.9144000000000001,,,,,,S,,,,,T,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
124,125,2008,42.9639509,-75.8739917,0.6096,,,,S,,S,,,,,,,,,,,,M,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,126,2008,42.963495,-75.8750705,6.4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,127,2008,42.9626447,-75.8780649,5.7912,,,,T,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,128,2008,42.962612,-75.878214,1.524,,,,,,S,T,T,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,129,2008,42.9625696,-75.8789486,0.6096,,,,,,,S,,,,,,,,,,,S,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
129,130,2008,42.9617547,-75.8787332,0.6096,,,,,,,S,,,,,,,,,,,T,,,,,S,T,,,,,,,,,,T,,,,,,,,,,,,
130,131,2008,42.9619178,-75.877767,2.1336,,,,S,,S,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,T,,,,,,,,
131,132,2008,42.9623696,-75.8761069,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,133,2008,42.9629026,-75.8743124,5.1816,,,,T,,S,,,,,,,,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,T,,
133,134,2008,42.963178,-75.8734217,1.2192,,,,,,T,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
134,135,2008,42.962491,-75.8726693,0.9144000000000001,,,,M,,,S,,,,,,,,,,,S,,,,,,,,,,,,T,,,,,,,,,,,,,,T,,
135,136,2008,42.9620143,-75.8734742,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,137,2008,42.9615194,-75.8756677,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,138,2008,42.961335,-75.8771279,1.2192,,,,,,M,,,,,,,,,,,,M,,,,,,,,,,,,,,S,,,,,,,,,,,,T,,
138,139,2008,42.9611392,-75.8783091,0.6096,,,,,,,S,,,,T,,,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,T,,
139,140,2008,42.9604037,-75.87813,0.3048,,,,,,,,T,,,T,,,,,,,T,,,,,S,S,,,,,,,,,,,,,,T,,,,,,T,,
140,141,2008,42.9604313,-75.877219,1.2192,,,,,,M,T,,,,,,,,,,,M,,,,,,,,,,,,,,S,,,,,,,,,,,,,,
141,142,2008,42.9594923,-75.8760579,3.6576000000000004,,,,,,M,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,143,2008,42.9592033,-75.8775669,0.6096,,,,,,,,,,,,,,,,,,M,,,,,S,S,,,,,,,,T,,,,,,,,,,,,T,,
143,144,2008,42.9577861,-75.8771686,0.6096,,,,,,,M,,,,T,,,,,,,M,T,,,,,,,,,,,,,T,,,,,,,,,,,,T,,
144,145,2008,42.9580153,-75.8757095,2.4384,,,,T,,D,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,146,2008,42.9570793,-75.8755557,2.4384,,,,,,M,,,,,T,,,,,,,D,,,,,,,,,,,,,,,S,,,,,,,,,,,,,
146,147,2008,42.9564934,-75.8765373,0.6096,,,,,,T,,T,,,S,,,,,,,M,,,,,,,,,,,,,,,S,,,,,,,,,,,T,,
147,148,2008,42.9555737,-75.8758508,0.9144000000000001,,,,,,,,,,,M,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,149,2008,42.9553325,-75.8751604,3.6576000000000004,,,,,,,T,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,150,2008,42.9543763,-75.8752152,4.572,,,,T,,T,S,,,,,,,,,,,T,,,,,,,,,,,,T,,,,,,,,,,,,,,,,
150,151,2008,42.9540917,-75.8759959,0.9144000000000001,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
151,152,2008,42.9530739,-75.876346,0.9144000000000001,,,,,,T,,T,,,T,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,153,2008,42.9528001,-75.8755924,3.6576000000000004,,,,,,T,,,,,,,,,,,,S,,,,,,,,,,,,,,T,,,,,,,,,,,,T,,
153,154,2008,42.9517314,-75.8756775,4.8768,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,155,2008,42.9515621,-75.8770018,0.9144000000000001,,,,,,,,,,,S,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,156,2008,42.9501003,-75.87718,0.6096,,,,,,T,S,T,,,S,,,,,,,M,,,,,,,,,,,,,,,T,,,,,,,,,,,S,,
156,157,2008,42.9499453,-75.8758167,3.048,,,,T,,T,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,158,2008,42.9488451,-75.8758542,5.486400000000001,,,,T,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,159,2008,42.9485702,-75.8773244,0.9144000000000001,,,,,,,T,T,,,S,,,,,T,,M,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
159,160,2008,42.9477748,-75.8774691,0.6096,,,,,,,,T,,,,,,,,,,S,,,,,,T,,,,,,,,,,,,,,T,,,,,,S,,
160,161,2008,42.9475917,-75.8758985,5.1816,,,,T,,T,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,162,2008,42.9466809,-75.8757081,5.486400000000001,,,,S,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,163,2008,42.9463853,-75.876704,0.6096,,,,,,,,T,,,T,,,,,T,,M,,,,,,,,,,,,,,T,,,,,,,,,,,,S,,
163,164,2008,42.945527,-75.8762902,0.6096,,,,,,,T,T,,,S,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
164,165,2008,42.9453926,-75.8754122,3.048,,,,S,,,S,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
165,166,2008,42.9445793,-75.8752376,3.6576000000000004,,,,,,T,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
166,167,2008,42.9444195,-75.8759834,0.9144000000000001,,,,,,,,,,,T,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
167,168,2008,42.9432615,-75.8759196,1.2192,,,,,,,,T,,,T,,,,,,,M,,,,,,,,,,,,T,,,,,,,,,,,,,,T,,
