,Sample_Point_(SP),Year,Date,Rake_toss_#,Latitude,Longitude,Depth,Rake_Abundance,PERCENT,Alisma_gramineum,Benthic_Filamentous_Algae,Callitriche_hermaphroditica,Ceratophyllum_demersum,Chara_vulgaris,Elodea_sp.,Floating_Filamentous_Algae,Fontinalis_sp.,Heteranthera_dubia,Hydrocharis_morsus-ranae,Hypericum_ellipticum,Juncus_sp.,Lemna_minor,Lemna_trisulca,Ludwigia_sp.,Megalodonta_beckii,Myriophyllum_sibiricum,Myriophyllum_spicatum,Najas_flexilis,Najas_guadalupensis,Nitella_flexilis,Nitellopsis_obtusa,Nuphar_variegata,Nymphaea_odorata,Pithophora_sp.,Polygonum_amphibium,Potamogeton_amplifolius,Potamogeton_crispus,Potamogeton_crispus_turions,Potamogeton_foliosus,Potamogeton_gramineus,Potamogeton_illinoensis,Potamogeton_praelongus,Potamogeton_pusillus,Potamogeton_richardsonii,Potamogeton_zosteriformis,Ranunculus_trichophyllus,Riccia_fluitans,Spirodela_polyrhiza,Stuckenia_pectinata,Stuckenia_vaginata,Utricularia_vulgaris,Vallisneria_americana,Wolffia_columbiana,Zannichellia_palustris,Zosterella_dubia,Abundance_calcs
24,13,2009,,1.0,42.9765976,75.8901296,1.25,D,100.01,,1.0,,40.0,,3.0,,,,,,,,,,,,,,0.01,1.0,,,,,,30.0,,,,,10.0,,,,1.0,,,,4.0,,,10.0,,,,
25,13,2009,,2.0,42.9765976,75.8901296,,D,100.0,,10.0,,57.0,,8.0,,,,,,,,,,,,,,2.0,,,,,,,9.0,,,,,2.0,,2.0,,3.0,1.0,,,3.0,,,3.0,,,,
26,14,2009,,1.0,42.9759387,75.8904761,1.1,M,100.02,,5.0,,20.0,20.0,10.0,,,,,,,,,,,,,,,,10.0,,,,,20.0,0.01,,,,,,5.0,,5.0,5.0,,,,,,0.01,,,,
27,14,2009,,2.0,42.9759387,75.8904761,,M,100.0,,9.0,,20.0,16.0,2.0,,1.0,,,,,,,,9.0,,,,1.0,,3.0,3.0,,,,25.0,,,,3.0,,,3.0,,3.0,,,,2.0,,,,,,,
28,15,2009,,1.0,42.9758036,75.8895223,2.75,S,100.0,,90.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,15,2009,,2.0,42.9758036,75.8895223,,S,100.0,,50.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,
30,16,2009,,1.0,42.9758839,75.8883072,3.3,S,100.0,,30.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,16,2009,,2.0,42.9758839,75.8883072,,S,100.0,,60.0,,25.0,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,
32,17,2009,,1.0,42.9759918,75.887147,2.3,M,100.01,,60.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,0.01,,,,,,,,,,,
33,17,2009,,2.0,42.9759918,75.887147,,S,100.0,,50.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,18,2009,,1.0,42.975287,75.8866842,1.5,M,100.0,,5.0,,30.0,,10.0,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,
35,18,2009,,2.0,42.975287,75.8866842,,M,100.01,,25.0,,25.0,,10.0,,,,,,,,,,,,,,,,,,,,,35.0,0.01,,,,,,,,5.0,,,,,,,,,,,
36,19,2009,,1.0,42.9750457,75.8874802,3.4,S,100.02,,40.0,,60.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,
37,19,2009,,2.0,42.9750457,75.8874802,,D,100.0,,2.0,,92.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,,,
38,20,2009,,1.0,42.9750334,75.8882365,3.2,S,100.0,,10.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20,2009,,2.0,42.9750334,75.8882365,,S,100.0,,30.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,7.0,,,,,,,,,,,
40,21,2009,,1.0,42.9749651,75.8893911,3.1,M,100.0,,5.0,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,21,2009,,2.0,42.9749651,75.8893911,,M,100.0,,28.0,,70.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
42,22,2009,,1.0,42.9748581,75.89047,1.3,M,100.02,,,,25.0,25.0,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,
43,22,2009,,2.0,42.9748581,75.89047,,M,100.0,,10.0,,30.0,30.0,2.0,,2.0,,,,,,,,,,1.0,,,,9.0,5.0,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,
44,23,2009,,1.0,42.9740548,75.8901428,1.5,D,100.02,,,,0.01,,0.01,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
45,23,2009,,2.0,42.9740548,75.8901428,,D,100.0,,,,,1.0,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
46,24,2009,,1.0,42.9739341,75.8893533,2.6,S,100.0,,80.0,,10.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
47,24,2009,,2.0,42.9739341,75.8893533,,M,100.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
48,25,2009,,1.0,42.9740021,75.8878303,3.5,D,100.0,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,,,,
49,25,2009,,2.0,42.9740021,75.8878303,,D,100.0,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,
50,26,2009,,1.0,42.9741368,75.8868632,3.5,D,100.0,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
51,26,2009,,2.0,42.9741368,75.8868632,,D,100.01,,10.0,,85.0,,1.0,,,,,,,,0.01,,,,,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,
52,27,2009,,1.0,42.9743156,75.8861365,0.4,D,100.0,,25.0,,40.0,,5.0,,,,,,,,,,,,,,,,,,,,,25.0,,,,,1.0,,,,3.0,,,,,,,,,,1.0,
53,27,2009,,2.0,42.9743156,75.8861365,,D,100.01,,20.0,,15.0,,12.0,,,,,,,,,,,,,,,,,,,,,50.0,0.01,,,,,,,,3.0,,,,,,,,,,,
54,28,2009,,1.0,42.9748021,75.8838658,1.3,S,100.01,,40.0,,,,2.0,,,,,,,,0.01,,,,,,1.0,2.0,,,,,,20.0,,,,,2.0,,,,2.0,,,,,,,30.0,,,1.0,
55,28,2009,,2.0,42.9748021,75.8838658,,M,100.0,,,,,50.0,,,15.0,,,,,,,,,,,,2.0,,,,,,,17.0,,,,10.0,,,,,,1.0,,,,,,5.0,,,,
56,29,2009,,1.0,42.9750385,75.883328,1.2,M,100.01,,35.0,,36.0,5.0,5.0,,0.01,,,,,,,,1.0,,,,2.0,,5.0,,,,,,,,,,,5.0,,,,1.0,,,,,,5.0,,,,
57,29,2009,,2.0,42.9750385,75.883328,,M,100.0,,20.0,,1.0,20.0,2.0,,1.0,,,,,,,,,,,,7.0,,6.0,,,,,1.0,,,,,40.0,,,,1.0,,,,,,,1.0,,,,
58,30,2009,,1.0,42.9752415,75.8825262,1.0,M,100.02,,30.0,,10.0,,25.0,,,,,,,,0.01,,0.01,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,5.0,,,,
59,30,2009,,2.0,42.9752415,75.8825262,,S,100.02,,40.0,,10.0,4.0,20.0,,3.0,,,,,,0.01,,4.0,,1.0,,4.0,,,,,,,4.0,,,,,,,,,0.01,,,,,,,10.0,,,,
60,31,2009,,1.0,42.9754028,75.8816964,1.0,S,100.01,,60.0,,17.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,5.0,,,,,,,,,,,
61,31,2009,,2.0,42.9754028,75.8816964,,S,100.01,,60.0,,3.0,2.0,2.0,,1.0,,,,,,1.0,,,,,,0.01,,,,,,,,,,,6.0,15.0,,,,10.0,,,,,,,,,,,
62,32,2009,,1.0,42.9752738,75.8809542,1.2,M,100.0,,6.0,,90.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,32,2009,,2.0,42.9752738,75.8809542,,M,100.0,,,,15.0,40.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,15.0,,,,5.0,,,,4.0,,,15.0,,,,
64,33,2009,,1.0,42.9750154,75.8813339,1.6,D,100.02,,,,1.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0.01,,,,,,,0.01,,,,
65,33,2009,,2.0,42.9750154,75.8813339,,D,100.0,,1.0,,2.0,80.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,10.0,,,,,,,,1.0,,,,,,,
66,34,2009,,1.0,42.9748007,75.8823264,2.0,S,100.02,,38.0,,10.0,10.0,1.0,,0.01,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,2.0,,,,,,1.0,0.01,,,,
67,34,2009,,2.0,42.9748007,75.8823264,,M,100.0,,15.0,,20.0,35.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,25.0,,,,2.0,,,,,,,,,,,
68,35,2009,,1.0,42.9745808,75.8831918,1.75,S,100.01,,50.0,,2.0,35.0,,,2.0,,,,,,0.01,,,,,,,,2.0,,,,,,,,,,7.0,,,,2.0,,,,,,,,,,,
69,35,2009,,2.0,42.9745808,75.8831918,,M,100.01,,30.0,,4.0,20.0,4.0,,5.0,,,,,,0.01,,,,,,1.0,,2.0,,,,,28.0,,,,,,,,,2.0,,,,,,,4.0,,,,
70,36,2009,,1.0,42.9744812,75.8839023,1.4,M,100.01,,2.0,,30.0,4.0,50.0,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,,,,0.01,,,,,,,,,6.0,,,,
71,36,2009,,2.0,42.9744812,75.8839023,,M,100.02,,,,10.0,60.0,2.0,,8.0,,,,,,0.01,,,,,,8.0,,,,,,,0.01,,,,,,,,,,,,,8.0,,,4.0,,,,
72,37,2009,,1.0,42.974717,75.8804605,1.1,M,100.0,,,,,95.0,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,
73,37,2009,,2.0,42.974717,75.8804605,,D,100.0,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
74,38,2009,,1.0,42.9745272,75.8812385,2.2,S,100.01,,40.0,,20.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,5.0,,,,,0.01,,,,,,
75,38,2009,,2.0,42.9745272,75.8812385,,S,100.01,,10.0,,0.01,,8.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,50.0,10.0,,5.0,,,,,4.0,,,8.0,,,,
76,39,2009,,1.0,42.9742522,75.8821871,2.7,S,100.0,,85.0,,10.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
77,39,2009,,2.0,42.9742522,75.8821871,,M,100.0,,30.0,,30.0,,3.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,30.0,1.0,,,,,,,,3.0,,,,,,,,,,,
78,40,2009,,1.0,42.9739459,75.8833035,2.25,D,100.0,,15.0,,15.0,,2.0,,,,,,,,,,,,,,,,,,,,,8.0,,,,,60.0,,,,,,,,,,,,,,,
79,40,2009,,2.0,42.9739459,75.8833035,,M,100.01,,20.0,,8.0,,6.0,,,,,,,,0.01,,,,,,,,,,,,,30.0,,,,,30.0,,,,6.0,,,,,,,,,,,
80,41,2009,,1.0,42.9737157,75.884369,1.8,M,100.01,,70.0,,15.0,,2.0,,,,,,,,0.01,,,,,,,,,,,,,10.0,,,,,,,,,3.0,,,,,,,,,,,
81,41,2009,,2.0,42.9737157,75.884369,,S,100.01,,50.0,,10.0,,30.0,,2.0,,,,,,0.01,,,,,,4.0,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,
82,42,2009,,1.0,42.9735318,75.8851375,1.75,S,100.0,,40.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,
83,42,2009,,2.0,42.9735318,75.8851375,,S,100.0,,80.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,
84,43,2009,,1.0,42.9734209,75.8861874,3.3,D,100.0,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,
85,43,2009,,2.0,42.9734209,75.8861874,,D,100.0,,18.0,,60.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1.0,,,,,,,,,,,
86,44,2009,,1.0,42.9732563,75.8871586,4.0,D,100.01,,,,99.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
87,44,2009,,2.0,42.9732563,75.8871586,,T,100.0,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
88,45,2009,,1.0,42.9730965,75.8879853,3.3,M,100.0,,1.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,1.0,,,,,,,,,,,
89,45,2009,,2.0,42.9730965,75.8879853,,M,100.0,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,6.0,,,,,,,,,,,
90,46,2009,,1.0,42.9727927,75.8888289,1.1,M,100.01,,30.0,,20.0,10.0,20.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,0.01,
91,46,2009,,2.0,42.9727927,75.8888289,,M,100.0,,5.0,,40.0,10.0,15.0,,,,,,,,2.0,,,,,,,,,,1.0,,,,2.0,,,,,,15.0,,3.0,5.0,,,2.0,,,,,,,
92,47,2009,,1.0,42.9722803,75.8881861,0.9,D,100.01,,25.0,,10.0,30.0,1.0,,,,,,,,0.01,,1.0,,,,,25.0,,2.0,,,,3.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,
93,47,2009,,2.0,42.9722803,75.8881861,,M,100.01,,10.0,,2.0,40.0,10.0,,,,,,,,0.01,,8.0,,,,,2.0,3.0,10.0,,,,7.0,1.0,,,,,,,,5.0,1.0,,,1.0,,,,,,,
94,48,2009,,1.0,42.9723151,75.8873411,7.8,S,100.0,,60.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,
95,48,2009,,2.0,42.9723151,75.8873411,,S,100.0,,12.0,,75.0,,2.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,,,4.0,,,,,,,,,,,
96,49,2009,,1.0,42.9723966,75.8862069,3.2,S,100.01,,,,97.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.01,,1.0,,,,,,,,,,,
97,49,2009,,2.0,42.9723966,75.8862069,,S,100.0,,,,95.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
98,50,2009,,1.0,42.9727738,75.8849941,3.2,M,100.01,,5.0,,90.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
99,50,2009,,2.0,42.9727738,75.8849941,,D,100.02,,20.0,,80.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,
100,51,2009,,1.0,42.9730606,75.8842895,3.5,M,100.01,,5.0,,45.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,0.01,,,,,,,,,,,
101,51,2009,,2.0,42.9730606,75.8842895,,M,100.01,,10.0,,80.0,,,,0.01,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,5.0,3.0,,,,,,
102,52,2009,,1.0,42.9732875,75.88337,3.3,M,100.02,,3.0,,95.0,,1.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,1.0,,,,,,0.01,,,,,
103,52,2009,,2.0,42.9732875,75.88337,,M,100.0,,3.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,5.0,,,,,,,
104,53,2009,,1.0,42.9735879,75.8826265,3.5,M,100.01,,0.01,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
105,53,2009,,2.0,42.9735879,75.8826265,,M,100.01,,0.01,,90.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,5.0,,,,,,
106,54,2009,,1.0,42.9737212,75.8815971,3.5,M,100.01,,,,95.0,,5.0,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,54,2009,,2.0,42.9737212,75.8815971,,M,100.0,,1.0,,95.0,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
108,55,2009,,1.0,42.9739382,75.8807551,3.2,M,100.02,,18.0,,80.0,,1.0,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
109,55,2009,,2.0,42.9739382,75.8807551,,M,100.0,,10.0,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
110,56,2009,,1.0,42.9743169,75.8799511,1.3,S,100.02,,10.0,,30.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,0.01,,,0.01,
111,56,2009,,2.0,42.9743169,75.8799511,,M,100.03000000000002,,0.01,,0.01,75.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,20.0,,,,,,,,,,,0.01,,,,
112,57,2009,,1.0,42.9736845,75.8794947,1.0,D,100.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,57,2009,,2.0,42.9736845,75.8794947,,M,100.0,,10.0,,4.0,25.0,5.0,,,,,,,,1.0,,,,,,,,,,,,,50.0,,,,,,,,,3.0,,,,,,,,,,2.0,
114,58,2009,,1.0,42.9734881,75.8801008,2.2,M,100.0,,14.0,,15.0,,1.0,,,,,,,,,,,,,,,,,,,,,60.0,,,,,10.0,,,,,,,,,,,,,,,
115,58,2009,,2.0,42.9734881,75.8801008,,M,100.0,,10.0,,10.0,,5.0,,,,,,,,,,,,,,,,,,,,,30.0,,,,,30.0,,,,5.0,,,,,,,10.0,,,,
116,59,2009,,1.0,42.9730344,75.8811633,5.3,S,100.0,,5.0,,90.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,59,2009,,2.0,42.9730344,75.8811633,,T,100.0,,,,85.0,,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,60,2009,,1.0,42.9725813,75.8825812,4.5,D,100.01,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,
119,60,2009,,2.0,42.9725813,75.8825812,,D,100.0,,,,97.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
120,61,2009,,1.0,42.9724011,75.883566,3.8,M,100.01,,5.0,,90.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
121,61,2009,,2.0,42.9724011,75.883566,,M,100.0,,,,95.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,
122,62,2009,,1.0,42.9721624,75.8844711,4.1,S,100.02,,2.0,,95.0,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,1.0,,2.0,,,,,,,,,,,
123,62,2009,,2.0,42.9721624,75.8844711,,S,100.0,,43.0,,40.0,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,1.0,,,,,,,
124,63,2009,,1.0,42.9719054,75.8852373,3.3,M,100.01,,45.0,,45.0,,0.01,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,
125,63,2009,,2.0,42.9719054,75.8852373,,M,100.01,,5.0,,80.0,,,,,,,,,,1.0,,,,,,,,,,,,,10.0,4.0,,,,,,,,0.01,,,,,,,,,,,
126,64,2009,,1.0,42.9717794,75.8861146,2.4,M,100.0,,38.0,,60.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
127,64,2009,,2.0,42.9717794,75.8861146,,S,100.0,,5.0,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,65,2009,,1.0,42.9716586,75.8868663,1.6,M,100.02,,,,70.0,,30.0,,,,,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
129,65,2009,,2.0,42.9716586,75.8868663,,D,100.0,,2.0,,40.0,15.0,15.0,,2.0,,,,,,10.0,,,,,,,,,,,,,,5.0,,,,,,2.0,2.0,2.0,5.0,,,,,,,,,,
